"Type","ident","lat","long","Date","Time","Bird"
"WAYPOINT","11",43.95436998,-71.74626703,"26-May-12","09:13:58","__AO"
"WAYPOINT","12",43.95434836,-71.74623929,"26-May-12","09:27:42","__AO"
"WAYPOINT","95",43.9544098,-71.74651522,"6-Jun-12","06:32:15","__AO"
"WAYPOINT","144",43.95450376,-71.74706818,"9-Jun-12","07:23:48","__AO"
"WAYPOINT","145",43.95444743,-71.74709148,"9-Jun-12","07:24:17","__AO"
"WAYPOINT","146",43.95436563,-71.74678948,"9-Jun-12","07:26:39","__AO"
"WAYPOINT","147",43.95437786,-71.74681948,"9-Jun-12","07:33:31","__AO"
"WAYPOINT","148",43.95451633,-71.74694966,"9-Jun-12","07:36:35","__AO"
"WAYPOINT","149",43.95442707,-71.74707949,"9-Jun-12","07:39:36","__AO"
"WAYPOINT","150",43.95419086,-71.74696583,"9-Jun-12","07:46:39","__AO"
"WAYPOINT","2",43.95430419,-71.74695318,"10-Jun-12","08:21:24","__AO"
"WAYPOINT","156",43.95429597,-71.74687087,"12-Jun-12","07:19:57","__AO"
"WAYPOINT","157",43.95433436,-71.74689358,"12-Jun-12","07:20:55","__AO"
"WAYPOINT","158",43.95439371,-71.746851,"12-Jun-12","07:21:14","__AO"
"WAYPOINT","159",43.95440645,-71.74683415,"12-Jun-12","07:21:59","__AO"
"WAYPOINT","160",43.95436085,-71.74698025,"12-Jun-12","07:22:34","__AO"
"WAYPOINT","161",43.9546196,-71.74680591,"12-Jun-12","07:24:22","__AO"
"WAYPOINT","162",43.95461004,-71.74670767,"12-Jun-12","07:25:24","__AO"
"WAYPOINT","293",43.95354009,-71.74815749,"8-Jun-12","12:11:55","__AO"
"WAYPOINT","294",43.95362802,-71.74817165,"8-Jun-12","12:16:29","__AO"
"WAYPOINT","295",43.95368745,-71.74837634,"8-Jun-12","12:25:25","__AO"
"WAYPOINT","296",43.95418877,-71.74687254,"8-Jun-12","12:37:27","__AO"
"WAYPOINT","240",43.95413747,-71.74780168,"18-Jun-12","12:58:03","__AO"
"WAYPOINT","241",43.95388786,-71.74753153,"18-Jun-12","13:09:01","__AO"
"WAYPOINT","1",43.95416245,-71.7464993,"19-Jun-12","06:21:14","__AO"
"WAYPOINT","2",43.95441173,-71.74700296,"19-Jun-12","07:03:46","__AO"
"WAYPOINT","3",43.95444626,-71.74692577,"19-Jun-12","07:09:44","__AO"
"WAYPOINT","4",43.95445162,-71.74679778,"19-Jun-12","07:13:35","__AO"
"WAYPOINT","5",43.95419237,-71.74661807,"19-Jun-12","07:23:11","__AO"
"WAYPOINT","1",43.95427644,-71.7470375,"25-Jun-12","06:27:59","__AO"
"WAYPOINT","2",43.95440821,-71.74700774,"25-Jun-12","06:28:28","__AO"
"WAYPOINT","3",43.95443109,-71.747038,"25-Jun-12","06:28:40","__AO"
