"Year","aou","speciestotal","routeID"
2006,4860,1,12404002
1984,4860,2,12404003
1988,4860,1,12404003
1995,4860,1,12404003
1997,4860,1,12404003
1999,4860,2,12404003
2000,4860,3,12404003
2001,4860,2,12404003
2003,4860,3,12404003
2004,4860,2,12404003
2008,4860,2,12404003
2009,4860,1,12404003
2011,4860,4,12404003
2013,4860,2,12404003
2014,4860,5,12404003
2015,4860,3,12404003
2016,4860,1,12404003
1991,4860,2,12404004
1996,4860,4,12404004
1997,4860,1,12404004
1998,4860,3,12404004
1999,4860,3,12404004
2000,4860,3,12404004
2001,4860,4,12404004
2002,4860,6,12404004
2003,4860,1,12404004
2004,4860,10,12404004
2005,4860,6,12404004
2006,4860,5,12404004
2007,4860,4,12404004
2008,4860,1,12404004
2009,4860,2,12404004
2010,4860,4,12404004
2014,4860,14,12404004
2015,4860,2,12404004
2016,4860,2,12404004
1973,4860,2,12404005
1975,4860,5,12404005
1985,4860,6,12404005
1986,4860,9,12404005
1987,4860,4,12404005
1988,4860,3,12404005
1989,4860,1,12404005
1991,4860,6,12404005
1992,4860,3,12404005
2011,4860,2,12404006
2013,4860,1,12404006
2003,4860,1,12404007
2008,4860,4,12404007
1989,4860,1,12404009
1992,4860,4,12404009
1999,4860,2,12404009
2008,4860,30,12404009
2016,4860,6,12404009
1973,4860,2,12404010
1974,4860,1,12404010
1975,4860,3,12404010
1976,4860,1,12404010
1977,4860,3,12404010
1978,4860,1,12404010
1979,4860,1,12404010
1980,4860,4,12404010
1981,4860,11,12404010
1982,4860,4,12404010
1983,4860,8,12404010
1984,4860,4,12404010
1985,4860,7,12404010
1986,4860,2,12404010
1989,4860,8,12404010
1990,4860,5,12404010
1991,4860,2,12404010
1993,4860,4,12404010
1995,4860,1,12404010
1997,4860,3,12404010
1998,4860,4,12404010
1999,4860,2,12404010
2000,4860,3,12404010
2002,4860,2,12404010
2003,4860,3,12404010
2004,4860,1,12404010
2005,4860,7,12404010
2006,4860,6,12404010
2007,4860,1,12404010
2009,4860,6,12404010
2010,4860,10,12404010
2011,4860,4,12404010
2012,4860,7,12404010
2013,4860,2,12404010
2014,4860,4,12404010
2016,4860,17,12404010
1972,5090,1,12404011
1991,4860,1,12404013
1995,4860,2,12404013
1998,4860,1,12404013
2000,4860,1,12404013
2007,4860,6,12404013
2008,4860,1,12404013
2009,4860,2,12404013
2010,4860,8,12404013
2011,4860,2,12404013
2012,4860,9,12404013
2013,4860,5,12404013
2016,4860,11,12404013
1989,4860,1,12404014
1991,4860,7,12404014
1994,4860,2,12404014
1995,4860,1,12404014
1997,5090,1,12404014
2003,4860,1,12404014
2004,4860,7,12404014
2005,4860,6,12404014
2006,4860,4,12404014
2007,4860,2,12404014
2009,4860,1,12404014
2010,4860,2,12404014
2011,4860,3,12404014
2013,4860,5,12404014
